trade_no,start_date,cusip,type,quantity,rate
3492788,2025-04-29 09:29:38,91282CCZ2,REP,5000000,4.390000
3492789,2025-04-29 09:29:39,912828YU8,REP,5000000,4.340000
3492790,2025-04-29 09:29:39,91282CMN8,REP,5000000,4.400000
3492791,2025-04-29 09:29:40,91282CKD2,REP,5000000,4.390000
3492792,2025-04-29 09:29:40,912810SC3,REP,5000000,4.390000
3492793,2025-04-29 09:29:49,91282CKJ9,REV,25000000,4.270000
3492794,2025-04-29 09:29:41,912810PX0,REP,5000000,4.340000
3492796,2025-04-29 09:29:52,912828ZE3,REV,25000000,4.430000
3492797,2025-04-29 09:29:52,91282CLG4,REV,25000000,4.450000
3492798,2025-04-29 09:29:54,91282CMF5,REV,25000000,4.310000
3492799,2025-04-29 09:29:52,91282CFH9,REV,25000000,4.440000
3492800,2025-04-29 09:29:52,91282CBS9,REV,25000000,4.440000
3492801,2025-04-29 09:29:52,91282CEV9,REV,25000000,4.400000
3492802,2025-04-29 09:29:52,912828ZQ6,REV,25000000,4.440000
3492803,2025-04-29 09:29:55,9128286S4,REV,25000000,4.440000
3492804,2025-04-29 09:29:55,91282CHH7,REV,25000000,4.440000
3492805,2025-04-29 09:30:00,91282CMW8,REV,50000000,4.300000
3492806,2025-04-29 09:29:56,91282CCZ2,REV,25000000,4.450000
3492807,2025-04-29 09:29:57,912828YU8,REV,25000000,4.400000
3492808,2025-04-29 09:29:57,91282CMN8,REV,25000000,4.440000
3492809,2025-04-29 09:29:58,91282CKD2,REV,25000000,4.450000
3492810,2025-04-29 09:29:58,912810SC3,REV,25000000,4.440000
3492811,2025-04-29 09:30:05,91282CES6,REV,25000000,4.270000
3492812,2025-04-29 09:29:59,912810PX0,REV,25000000,4.400000
3492813,2025-04-29 09:30:16,912828YB0,REV,50000000,4.300000
3492814,2025-04-29 09:30:20,912828YS3,REV,25000000,4.300000
3492822,2025-04-29 09:30:22,91282CEP2,REV,25000000,4.310000
3492823,2025-04-29 09:30:29,91282CKQ3,REV,25000000,4.290000
3492838,2025-04-29 09:31:15,91282CDJ7,REV,50000000,4.310000
3492967,2025-04-29 09:42:01,91282CLT6,REP,9000000,4.220000
3492968,2025-04-29 09:42:19,91282CLT6,REV,25000000,4.260000
3493011,2025-04-29 09:43:43,912810EV6,REV,25000000,4.180000
3493012,2025-04-29 09:43:59,91282CHZ7,REP,5000000,4.400000
3493016,2025-04-29 09:44:17,91282CHZ7,REV,25000000,4.440000
3493021,2025-04-29 09:45:29,91282CGM7,REP,8000000,4.250000
3493029,2025-04-29 09:45:47,91282CGM7,REV,25000000,4.280000
3493087,2025-04-29 09:48:44,912810RD2,REV,50000000,4.280000
3493088,2025-04-29 09:48:58,912810TR9,REV,50000000,4.280000
3493151,2025-04-29 09:55:35,91282CHQ7,REV,50000000,4.430000
3493152,2025-04-29 09:55:35,91282CHQ7,REP,50000000,4.350000
3493187,2025-04-29 10:00:03,912797LW5,REV,14000000,4.340000
3493189,2025-04-29 10:00:03,912797QD2,REV,13000000,4.320000
3493190,2025-04-29 10:00:03,912797LW5,REP,5000000,4.300000
3493192,2025-04-29 10:00:03,912797QE0,REP,5000000,4.200000
3493193,2025-04-29 10:00:03,912797QE0,REV,12000000,4.240000
3493194,2025-04-29 10:00:03,912797QD2,REP,5000000,4.300000
3493196,2025-04-29 10:00:04,91282CKF7,REP,5000000,4.300000
3493197,2025-04-29 10:00:04,91282CKF7,REV,30000000,4.320000
3493203,2025-04-29 10:00:17,91282CMV0,REP,10000000,4.300000
3493204,2025-04-29 10:00:17,91282CMV0,REV,14000000,4.320000
3493219,2025-04-29 10:01:15,91282CLL3,REV,6000000,4.320000
3493233,2025-04-29 10:01:31,912810TM0,REP,10000000,4.200000
3493258,2025-04-29 10:01:49,912810TM0,REV,25000000,4.250000
3493260,2025-04-29 10:02:11,912797MG9,REP,5000000,4.230000
3493261,2025-04-29 10:02:11,912797MH7,REV,15000000,4.240000
3493262,2025-04-29 10:02:11,912797QC4,REP,5000000,4.120000
